Radius =100
center of circle X =300
center of circle Y =200
ANGLE,X,Y
177,205,200
178,203,200
179,201,200
180,200,200
181,198,200
182,196,200
183,194,200
184,193,200
185,191,200
186,189,200
187,187,200
188,186,200
189,184,201
190,182,201
191,180,201
192,179,202
193,177,202
194,175,202
195,174,203
196,172,203
197,170,204
198,169,204
199,167,205
200,165,206
201,164,206
202,162,207
203,160,207
204,159,208
205,157,209
206,156,210
207,154,210
208,153,211
209,151,212
210,150,213
211,148,214
212,147,215
213,145,216
214,144,217
215,142,218
216,141,219
217,139,220
218,138,221
219,137,222
220,135,223
221,134,224
222,133,225
223,131,226
224,130,228
225,129,229
226,128,230
227,126,231
228,125,233
229,124,234
230,123,235
231,122,237
232,121,238
233,120,239
234,119,241
235,118,242
236,117,244
237,116,245
238,115,247
239,114,248
240,113,250
241,112,251
242,111,253
243,110,254
244,110,256
245,109,257
246,108,259
247,107,260
248,107,262
249,106,264
250,106,265
251,105,267
252,104,269
253,104,270
254,103,272
255,103,274
256,102,275
257,102,277
258,102,279
259,101,280
260,101,282
261,101,284
262,100,286
263,100,287
264,100,289
265,100,291
266,100,293
267,100,294
268,100,296
269,100,298
270,100,300
271,100,301
272,100,303
273,100,305
274,100,306
275,100,308
276,100,310
277,100,312
278,100,313
279,101,315
280,101,317
281,101,319
282,102,320
283,102,322
284,102,324
285,103,325
286,103,327
287,104,329
288,104,330
289,105,332
290,106,334
291,106,335
292,107,337
293,107,339
294,108,340
295,109,342
296,110,343
297,110,345
298,111,346
299,112,348
300,113,349
301,114,351
302,115,352
303,116,354
304,117,355
305,118,357
306,119,358
307,120,360
308,121,361
309,122,362
310,123,364
311,124,365
312,125,366
313,126,368
314,128,369
315,143,356
316,144,357
317,145,358
318,146,359
319,147,360
320,148,361
321,149,362
322,150,363
323,151,363
324,152,364
325,154,365
326,155,366
327,156,367
328,157,367
329,158,368
330,160,369
331,161,369
332,162,370
333,163,371
334,164,371
335,166,372
336,167,373
337,168,373
338,170,374
339,171,374
340,172,375
341,173,375
342,175,376
343,176,376
344,177,376
345,179,377
346,180,377
347,182,377
348,183,378
349,184,378
350,186,378
351,187,379
352,188,379
353,190,379
354,191,379
355,193,379
356,194,379
357,195,379
358,197,379
359,198,379
0,200,380
1,201,379
2,202,379
3,204,379
4,205,379
5,206,379
6,208,379
7,209,379
8,211,379
9,212,379
10,213,378
11,215,378
12,216,378
13,217,377
14,219,377
15,220,377
16,222,376
17,223,376
18,224,376
19,226,375
20,227,375
21,228,374
22,229,374
23,231,373
24,232,373
25,233,372
26,235,371
27,236,371
28,237,370
29,238,369
30,239,369
31,241,368
32,242,367
33,243,367
34,244,366
35,245,365
36,247,364
37,248,363
38,249,363
39,250,362
40,251,361
41,252,360
42,253,359
43,254,358
44,255,357
45,256,356
46,257,355
47,258,354
48,259,353
49,260,352
50,261,351
51,262,350
52,263,349
53,263,348
54,264,347
55,265,345
56,266,344
57,267,343
58,267,342
59,268,341
60,269,340
61,269,338
62,270,337
63,271,336
64,271,335
65,272,333
66,273,332
67,273,331
68,274,329
69,274,328
70,275,327
71,275,326
72,276,324
73,276,323
74,276,322
75,277,320
76,277,319
77,277,317
78,278,316
79,278,315
80,278,313
81,279,312
82,279,311
83,279,309
84,279,308
85,279,306
86,279,305
87,279,304
88,279,302
89,279,301
90,279,300
91,279,298
92,279,297
93,279,295
94,279,294
95,279,293
96,279,291
97,279,290
98,279,288
99,279,287
100,278,286
101,278,284
102,278,283
103,277,282
104,277,280
105,277,279
106,276,277
107,276,276
108,276,275
109,275,273
110,275,272
111,274,271
112,274,270
113,273,268
114,273,267
115,272,266
116,271,264
117,271,263
118,270,262
119,269,261
120,269,260
121,268,258
122,267,257
123,267,256
124,266,255
125,265,254
126,264,252
127,263,251
128,263,250
129,262,249
130,261,248
131,260,247
132,259,246
133,258,245
134,257,244
135,256,243
136,255,242
137,254,241
138,253,240
139,252,239
140,251,238
141,250,237
142,249,236
143,248,236
144,247,235
145,245,234
146,244,233
147,243,232
148,242,232
149,241,231
150,239,230
151,238,230
152,237,229
153,236,228
154,235,228
155,233,227
156,232,226
157,231,226
158,229,225
159,228,225
160,227,224
161,226,224
162,224,223
163,223,223
164,222,223
165,220,222
166,219,222
167,217,222
168,216,221
169,215,221
170,213,221
171,212,220
172,211,220
173,209,220
174,208,220
175,206,220
176,205,220
177,204,220
178,202,220
179,201,220
180,200,220
181,198,220
182,197,220
183,195,220
184,194,220
185,193,220
186,191,220
187,190,220
188,188,220
189,187,220
190,186,221
191,184,221
192,183,221
193,182,222
194,180,222
195,179,222
196,177,223
197,176,223
198,175,223
199,173,224
200,172,224
201,171,225
202,170,225
203,168,226
204,167,226
205,166,227
206,164,228
207,163,228
208,162,229
209,161,230
210,160,230
211,158,231
212,157,232
213,156,232
214,155,233
215,154,234
216,152,235
217,151,236
218,150,236
219,149,237
220,148,238
221,147,239
222,146,240
223,145,241
224,144,242
225,143,243
226,142,244
227,141,245
228,140,246
229,139,247
230,138,248
231,137,249
232,136,250
233,136,251
234,135,252
235,134,254
236,133,255
237,132,256
238,132,257
239,131,258
240,130,260
241,130,261
242,129,262
243,128,263
244,128,264
245,127,266
246,126,267
247,126,268
248,125,270
249,125,271
250,124,272
251,124,273
252,123,275
253,123,276
254,123,277
255,122,279
256,122,280
257,122,282
258,121,283
259,121,284
260,121,286
261,120,287
262,120,288
263,120,290
264,120,291
265,120,293
266,120,294
267,120,295
268,120,297
269,120,298
270,120,300
271,120,301
272,120,302
273,120,304
274,120,305
275,120,306
276,120,308
277,120,309
278,120,311
279,120,312
280,121,313
281,121,315
282,121,316
283,122,317
284,122,319
285,122,320
286,123,322
287,123,323
288,123,324
289,124,326
290,124,327
291,125,328
292,125,329
293,126,331
294,126,332
295,127,333
296,128,335
297,128,336
298,129,337
299,130,338
300,130,339
301,131,341
302,132,342
303,132,343
304,133,344
305,134,345
306,135,347
307,136,348
308,136,349
309,137,350
310,138,351
311,139,352
312,140,353
313,141,354
314,142,355
315,157,342
316,158,343
317,159,343
318,159,344
319,160,345
320,161,345
321,162,346
322,163,347
323,163,347
324,164,348
325,165,349
326,166,349
327,167,350
328,168,350
329,169,351
330,170,351
331,170,352
332,171,352
333,172,353
334,173,353
335,174,354
336,175,354
337,176,355
338,177,355
339,178,356
340,179,356
341,180,356
342,181,357
343,182,357
344,183,357
345,184,357
346,185,358
347,186,358
348,187,358
349,188,358
350,189,359
351,190,359
352,191,359
353,192,359
354,193,359
355,194,359
356,195,359
357,196,359
358,197,359
359,198,359
0,200,360
1,201,359
2,202,359
3,203,359
4,204,359
5,205,359
6,206,359
7,207,359
8,208,359
9,209,359
10,210,359
11,211,358
12,212,358
13,213,358
14,214,358
15,215,357
16,216,357
17,217,357
18,218,357
19,219,356
20,220,356
21,221,356
22,222,355
23,223,355
24,224,354
25,225,354
26,226,353
27,227,353
28,228,352
29,229,352
30,229,351
31,230,351
32,231,350
33,232,350
34,233,349
35,234,349
36,235,348
37,236,347
38,236,347
39,237,346
40,238,345
41,239,345
42,240,344
43,240,343
44,241,343
45,242,342
46,243,341
47,243,340
48,244,340
49,245,339
50,245,338
51,246,337
52,247,336
53,247,336
54,248,335
55,249,334
56,249,333
57,250,332
58,250,331
59,251,330
60,251,330
61,252,329
62,252,328
63,253,327
64,253,326
65,254,325
66,254,324
67,255,323
68,255,322
69,256,321
70,256,320
71,256,319
72,257,318
73,257,317
74,257,316
75,257,315
76,258,314
77,258,313
78,258,312
79,258,311
80,259,310
81,259,309
82,259,308
83,259,307
84,259,306
85,259,305
86,259,304
87,259,303
88,259,302
89,259,301
90,259,300
91,259,298
92,259,297
93,259,296
94,259,295
95,259,294
96,259,293
97,259,292
98,259,291
99,259,290
100,259,289
101,258,288
102,258,287
103,258,286
104,258,285
105,257,284
106,257,283
107,257,282
108,257,281
109,256,280
110,256,279
111,256,278
112,255,277
113,255,276
114,254,275
115,254,274
116,253,273
117,253,272
118,252,271
119,252,270
120,251,270
121,251,269
122,250,268
123,250,267
124,249,266
125,249,265
126,248,264
127,247,263
128,247,263
129,246,262
130,245,261
131,245,260
132,244,259
133,243,259
134,243,258
135,242,257
136,241,256
137,240,256
138,240,255
139,239,254
140,238,254
141,237,253
142,236,252
143,236,252
144,235,251
145,234,250
146,233,250
147,232,249
148,231,249
149,230,248
150,229,248
151,229,247
152,228,247
153,227,246
154,226,246
155,225,245
156,224,245
157,223,244
158,222,244
159,221,243
160,220,243
161,219,243
162,218,242
163,217,242
164,216,242
165,215,242
166,214,241
167,213,241
168,212,241
169,211,241
170,210,240
171,209,240
172,208,240
173,207,240
174,206,240
175,205,240
176,204,240
177,203,240
178,202,240
179,201,240
180,200,240
181,198,240
182,197,240
183,196,240
184,195,240
185,194,240
186,193,240
187,192,240
188,191,240
189,190,240
190,189,240
191,188,241
192,187,241
193,186,241
194,185,241
195,184,242
196,183,242
197,182,242
198,181,242
199,180,243
200,179,243
201,178,243
202,177,244
203,176,244
204,175,245
205,174,245
206,173,246
207,172,246
208,171,247
209,170,247
210,170,248
211,169,248
212,168,249
213,167,249
214,166,250
215,165,250
216,164,251
217,163,252
218,163,252
219,162,253
220,161,254
221,160,254
222,159,255
223,159,256
224,158,256
225,157,257
226,156,258
227,156,259
228,155,259
229,154,260
230,154,261
231,153,262
232,152,263
233,152,263
234,151,264
235,150,265
236,150,266
237,149,267
238,149,268
239,148,269
240,148,270
241,147,270
242,147,271
243,146,272
244,146,273
245,145,274
246,145,275
247,144,276
248,144,277
249,143,278
250,143,279
251,143,280
252,142,281
253,142,282
254,142,283
255,142,284
256,141,285
257,141,286
258,141,287
259,141,288
260,140,289
261,140,290
262,140,291
263,140,292
264,140,293
265,140,294
266,140,295
267,140,296
268,140,297
269,140,298
270,140,300
271,140,301
272,140,302
273,140,303
274,140,304
275,140,305
276,140,306
277,140,307
278,140,308
279,140,309
280,140,310
281,141,311
282,141,312
283,141,313
284,141,314
285,142,315
286,142,316
287,142,317
288,142,318
289,143,319
290,143,320
291,143,321
292,144,322
293,144,323
294,145,324
295,145,325
296,146,326
297,146,327
298,147,328
299,147,329
300,148,329
301,148,330
302,149,331
303,149,332
304,150,333
305,150,334
306,151,335
307,152,336
308,152,336
309,153,337
310,154,338
311,154,339
312,155,340
313,156,340
314,156,341
315,171,328
316,172,328
317,172,329
318,173,329
319,173,330
320,174,330
321,174,331
322,175,331
323,175,331
324,176,332
325,177,332
326,177,333
327,178,333
328,178,333
329,179,334
330,180,334
331,180,334
332,181,335
333,181,335
334,182,335
335,183,336
336,183,336
337,184,336
338,185,337
339,185,337
340,186,337
341,186,337
342,187,338
343,188,338
344,188,338
345,189,338
346,190,338
347,191,338
348,191,339
349,192,339
350,193,339
351,193,339
352,194,339
353,195,339
354,195,339
355,196,339
356,197,339
357,197,339
358,198,339
359,199,339
0,200,340
1,200,339
2,201,339
3,202,339
4,202,339
5,203,339
6,204,339
7,204,339
8,205,339
9,206,339
10,206,339
11,207,339
12,208,339
13,208,338
14,209,338
15,210,338
16,211,338
17,211,338
18,212,338
19,213,337
20,213,337
21,214,337
22,214,337
23,215,336
24,216,336
25,216,336
26,217,335
27,218,335
28,218,335
29,219,334
30,219,334
31,220,334
32,221,333
33,221,333
34,222,333
35,222,332
36,223,332
37,224,331
38,224,331
39,225,331
40,225,330
41,226,330
42,226,329
43,227,329
44,227,328
45,228,328
46,228,327
47,229,327
48,229,326
49,230,326
50,230,325
51,231,325
52,231,324
53,231,324
54,232,323
55,232,322
56,233,322
57,233,321
58,233,321
59,234,320
60,234,320
61,234,319
62,235,318
63,235,318
64,235,317
65,236,316
66,236,316
67,236,315
68,237,314
69,237,314
70,237,313
71,237,313
72,238,312
73,238,311
74,238,311
75,238,310
76,238,309
77,238,308
78,239,308
79,239,307
80,239,306
81,239,306
82,239,305
83,239,304
84,239,304
85,239,303
86,239,302
87,239,302
88,239,301
89,239,300
90,239,300
91,239,299
92,239,298
93,239,297
94,239,297
95,239,296
96,239,295
97,239,295
98,239,294
99,239,293
100,239,293
101,239,292
102,239,291
103,238,291
104,238,290
105,238,289
106,238,288
107,238,288
108,238,287
109,237,286
110,237,286
111,237,285
112,237,285
113,236,284
114,236,283
115,236,283
116,235,282
117,235,281
118,235,281
119,234,280
120,234,280
121,234,279
122,233,278
123,233,278
124,233,277
125,232,277
126,232,276
127,231,275
128,231,275
129,231,274
130,230,274
131,230,273
132,229,273
133,229,272
134,228,272
135,228,271
136,227,271
137,227,270
138,226,270
139,226,269
140,225,269
141,225,268
142,224,268
143,224,268
144,223,267
145,222,267
146,222,266
147,221,266
148,221,266
149,220,265
150,219,265
151,219,265
152,218,264
153,218,264
154,217,264
155,216,263
156,216,263
157,215,263
158,214,262
159,214,262
160,213,262
161,213,262
162,212,261
163,211,261
164,211,261
165,210,261
166,209,261
167,208,261
168,208,260
169,207,260
170,206,260
171,206,260
172,205,260
173,204,260
174,204,260
175,203,260
176,202,260
177,202,260
178,201,260
179,200,260
180,200,260
181,199,260
182,198,260
183,197,260
184,197,260
185,196,260
186,195,260
187,195,260
188,194,260
189,193,260
190,193,260
191,192,260
192,191,260
193,191,261
194,190,261
195,189,261
196,188,261
197,188,261
198,187,261
199,186,262
200,186,262
201,185,262
202,185,262
203,184,263
204,183,263
205,183,263
206,182,264
207,181,264
208,181,264
209,180,265
210,180,265
211,179,265
212,178,266
213,178,266
214,177,266
215,177,267
216,176,267
217,175,268
218,175,268
219,174,268
220,174,269
221,173,269
222,173,270
223,172,270
224,172,271
225,171,271
226,171,272
227,170,272
228,170,273
229,169,273
230,169,274
231,168,274
232,168,275
233,168,275
234,167,276
235,167,277
236,166,277
237,166,278
238,166,278
239,165,279
240,165,280
241,165,280
242,164,281
243,164,281
244,164,282
245,163,283
246,163,283
247,163,284
248,162,285
249,162,285
250,162,286
251,162,286
252,161,287
253,161,288
254,161,288
255,161,289
256,161,290
257,161,291
258,160,291
259,160,292
260,160,293
261,160,293
262,160,294
263,160,295
264,160,295
265,160,296
266,160,297
267,160,297
268,160,298
269,160,299
270,160,300
271,160,300
272,160,301
273,160,302
274,160,302
275,160,303
276,160,304
277,160,304
278,160,305
279,160,306
280,160,306
281,160,307
282,160,308
283,161,308
284,161,309
285,161,310
286,161,311
287,161,311
288,161,312
289,162,313
290,162,313
291,162,314
292,162,314
293,163,315
294,163,316
295,163,316
296,164,317
297,164,318
298,164,318
299,165,319
300,165,319
301,165,320
302,166,321
303,166,321
304,166,322
305,167,322
306,167,323
307,168,324
308,168,324
309,168,325
310,169,325
311,169,326
312,170,326
313,170,327
314,171,327
315,185,314
316,186,314
317,186,314
318,186,314
319,186,315
320,187,315
321,187,315
322,187,315
323,187,315
324,188,316
325,188,316
326,188,316
327,189,316
328,189,316
329,189,317
330,190,317
331,190,317
332,190,317
333,190,317
334,191,317
335,191,318
336,191,318
337,192,318
338,192,318
339,192,318
340,193,318
341,193,318
342,193,319
343,194,319
344,194,319
345,194,319
346,195,319
347,195,319
348,195,319
349,196,319
350,196,319
351,196,319
352,197,319
353,197,319
354,197,319
355,198,319
356,198,319
357,198,319
358,199,319
359,199,319
0,200,320
1,200,319
2,200,319
3,201,319
4,201,319
5,201,319
6,202,319
7,202,319
8,202,319
9,203,319
10,203,319
11,203,319
12,204,319
13,204,319
14,204,319
15,205,319
16,205,319
17,205,319
18,206,319
19,206,318
20,206,318
21,207,318
22,207,318
23,207,318
24,208,318
25,208,318
26,208,317
27,209,317
28,209,317
29,209,317
30,209,317
31,210,317
32,210,316
33,210,316
34,211,316
35,211,316
36,211,316
37,212,315
38,212,315
39,212,315
40,212,315
41,213,315
42,213,314
43,213,314
44,213,314
45,214,314
46,214,313
47,214,313
48,214,313
49,215,313
50,215,312
51,215,312
52,215,312
53,215,312
54,216,311
55,216,311
56,216,311
57,216,310
58,216,310
59,217,310
60,217,310
61,217,309
62,217,309
63,217,309
64,217,308
65,218,308
66,218,308
67,218,307
68,218,307
69,218,307
70,218,306
71,218,306
72,219,306
73,219,305
74,219,305
75,219,305
76,219,304
77,219,304
78,219,304
79,219,303
80,219,303
81,219,303
82,219,302
83,219,302
84,219,302
85,219,301
86,219,301
87,219,301
88,219,300
89,219,300
90,220,300
91,219,299
92,219,299
93,219,298
94,219,298
95,219,298
96,219,297
97,219,297
98,219,297
99,219,296
100,219,296
101,219,296
102,219,295
103,219,295
104,219,295
105,219,294
106,219,294
107,219,294
108,219,293
109,218,293
110,218,293
111,218,292
112,218,292
113,218,292
114,218,291
115,218,291
116,217,291
117,217,290
118,217,290
119,217,290
120,217,290
121,217,289
122,216,289
123,216,289
124,216,288
125,216,288
126,216,288
127,215,287
128,215,287
129,215,287
130,215,287
131,215,286
132,214,286
133,214,286
134,214,286
135,214,285
136,213,285
137,213,285
138,213,285
139,213,284
140,212,284
141,212,284
142,212,284
143,212,284
144,211,283
145,211,283
146,211,283
147,210,283
148,210,283
149,210,282
150,209,282
151,209,282
152,209,282
153,209,282
154,208,282
155,208,281
156,208,281
157,207,281
158,207,281
159,207,281
160,206,281
161,206,281
162,206,280
163,205,280
164,205,280
165,205,280
166,204,280
167,204,280
168,204,280
169,203,280
170,203,280
171,203,280
172,202,280
173,202,280
174,202,280
175,201,280
176,201,280
177,201,280
178,200,280
179,200,280
180,200,280
181,199,280
182,199,280
183,198,280
184,198,280
185,198,280
186,197,280
187,197,280
188,197,280
189,196,280
190,196,280
191,196,280
192,195,280
193,195,280
194,195,280
195,194,280
196,194,280
197,194,280
198,193,280
199,193,281
200,193,281
201,192,281
202,192,281
203,192,281
204,191,281
205,191,281
206,191,282
207,190,282
208,190,282
209,190,282
210,190,282
211,189,282
212,189,283
213,189,283
214,188,283
215,188,283
216,188,283
217,187,284
218,187,284
219,187,284
220,187,284
221,186,284
222,186,285
223,186,285
224,186,285
225,185,285
226,185,286
227,185,286
228,185,286
229,184,286
230,184,287
231,184,287
232,184,287
233,184,287
234,183,288
235,183,288
236,183,288
237,183,289
238,183,289
239,182,289
240,182,290
241,182,290
242,182,290
243,182,290
244,182,291
245,181,291
246,181,291
247,181,292
248,181,292
249,181,292
250,181,293
251,181,293
252,180,293
253,180,294
254,180,294
255,180,294
256,180,295
257,180,295
258,180,295
259,180,296
260,180,296
261,180,296
262,180,297
263,180,297
264,180,297
265,180,298
266,180,298
267,180,298
268,180,299
269,180,299
270,180,300
271,180,300
272,180,300
273,180,301
274,180,301
275,180,301
276,180,302
277,180,302
278,180,302
279,180,303
280,180,303
281,180,303
282,180,304
283,180,304
284,180,304
285,180,305
286,180,305
287,180,305
288,180,306
289,181,306
290,181,306
291,181,307
292,181,307
293,181,307
294,181,308
295,181,308
296,182,308
297,182,309
298,182,309
299,182,309
300,182,309
301,182,310
302,183,310
303,183,310
304,183,311
305,183,311
306,183,311
307,184,312
308,184,312
309,184,312
310,184,312
311,184,313
312,185,313
313,185,313
314,185,313

